Hybrid,Pollen_DAP_days,Silk_DAP_days,Plant_Height_cm,Ear_Height_cm,Root_Lodging_plants,Stalk_Lodging_plants,Yield_Mg_ha,Grain_Moisture,Twt_kg_m3
2369/DK3IIH6,70.33333333333333,71.83333333333333,246.33333333333334,128.83333333333334,17.833333333333332,7.5,11.226207346333334,17.166666666666668,699.5851746499999
2369/LH123HT,69.95867768595042,71.33884297520662,259.66199724545453,130.0049724553719,5.785123966942149,3.87603305785124,11.366147759896693,19.815661157024795,722.1535117198347
2369/PHZ51,71.04761904761905,72.33333333333333,252.47619047619048,124.42857142857143,1.619047619047619,3.857142857142857,11.076872174666667,17.60952380952381,738.9056188047618
2FACC/DK3IIH6,63.333333333333336,62.666666666666664,258.0,130.0,9.333333333333334,12.0,9.117584812666665,14.966666666666667,707.5228169000001
4N506/DK3IIH6,71.66666666666667,71.33333333333333,263.6666666666667,126.66666666666667,2.0,5.0,10.170563705333334,15.833333333333334,692.5056558333332
6F629/DK3IIH6,71.33333333333333,71.0,275.3333333333333,138.0,3.0,10.666666666666666,8.772876389666667,16.599999999999998,684.3534826666668
A632/DK3IIH6,69.0,70.4,238.2,122.4,4.6,19.4,7.0950278802,15.2,701.77338956
A634/DK3IIH6,65.33333333333333,66.0,247.0,110.66666666666667,13.666666666666666,22.333333333333332,6.08324404,16.666666666666668,709.6681256333333
A634/LH82,69.8,70.0,193.8,89.9,3.4,4.5,8.5388569012,19.07,729.70530912
A634/PHZ51,73.7,74.8,234.8,124.7,0.4,5.3,9.6816329804,19.369999999999997,729.31915353
A635/DK3IIH6,70.75,71.5,241.5,117.75,4.5,16.0,8.84820548525,15.275,710.2044528
A635/LH82,71.4,71.4,190.8,99.4,1.2,1.6,8.8048392426,18.2,736.52739086
A635/PHZ51,75.6,77.6,214.4,105.8,1.2,2.4,8.4631317116,18.64,732.92327218
A641/LH82,68.625,69.25,193.125,97.25,0.0,4.5,8.532770178375,17.75,729.834027625
A641/PHZ51,74.14285714285714,73.85714285714286,235.71428571428572,115.71428571428571,0.2857142857142857,6.428571428571429,9.177650712142858,18.1,725.2369375
A672/LH82,77.16666666666667,76.83333333333333,214.16666666666666,110.66666666666667,2.0,11.333333333333334,9.277039800833334,21.133333333333336,707.9518786666666
A672/PHZ51,77.14285714285714,78.85714285714286,225.14285714285714,116.14285714285714,0.0,4.285714285714286,9.633649871714285,20.342857142857145,715.3072228428572
A679/DK3IIH6,69.5,70.66666666666667,250.5,122.33333333333333,5.333333333333333,15.666666666666666,8.998739091,15.666666666666666,739.7024477666668
A679/LH82,71.25,71.125,205.5,107.625,0.5,2.75,10.91530038725,19.7,731.1212128625
A679/PHZ51,74.5,74.875,234.25,123.25,0.75,2.875,10.161578308875,20.5125,730.47762025
A680/DK3IIH6,75.0,74.4,253.2,130.2,9.6,12.0,10.6735479258,15.98,689.9312853600001
A680/LH82,75.5,75.25,219.875,111.625,5.5,3.25,10.6943504305,21.625,708.4345731125
A680/PHZ51,77.25,78.75,243.5,128.75,0.375,3.75,10.684147695,22.7875,716.318582675
B103/LH82,73.33333333333333,74.0,222.66666666666666,102.66666666666667,3.0,1.0,10.796068055,24.96666666666667,716.1040518
B103/PHB47,70.5,71.5,223.0,105.0,0.0,6.5,10.656814031500002,19.049999999999997,729.190435
B103/PHZ51,75.8,76.8,247.8,104.0,0.0,0.8,10.2888987072,21.22,731.3786499
B104/DK3IIH6,73.0,74.33333333333333,244.0,110.66666666666667,17.666666666666668,7.666666666666667,10.178127512,17.53333333333333,672.7688156
B104/LH82,66.14285714285714,67.85714285714286,209.42857142857142,87.0,0.2857142857142857,8.428571428571429,9.337611984,16.228571428571428,756.4971503428571
B104/PHZ51,68.42857142857143,70.14285714285714,247.0,106.85714285714286,0.0,7.571428571428571,10.447657918571428,15.485714285714284,753.9227798571428
B105/DK3IIH6,69.2,71.2,205.8,97.0,3.0,13.0,7.330505957200001,17.14,738.84432426
B105/LH82,70.0,73.0,200.0,85.0,5.0,0.0,9.221123125,21.7,728.5468424
B105/PHZ51,75.0,78.0,244.0,117.0,1.0,0.0,11.68557525,18.0,731.1212129
B106/LH82,64.66666666666667,66.0,219.16666666666666,96.5,0.6666666666666666,8.333333333333334,9.7865067785,15.583333333333334,760.7264732499999
B106/PHZ51,66.66666666666667,69.0,263.8333333333333,117.0,0.6666666666666666,14.166666666666666,8.6953872365,16.466666666666665,771.0239551
B109/DK3IIH6,65.0,66.25,238.0,131.0,12.5,13.25,8.76362026125,17.5,728.868638725
B109/LH82,68.33333333333333,68.33333333333333,202.0,95.66666666666667,0.0,3.6666666666666665,11.668054695666667,20.233333333333334,736.6990155666667
B109/PHZ51,70.0,71.0,273.0,136.0,0.0,1.6666666666666667,11.875958050333333,19.566666666666666,748.2836826666667
B110/DK3IIH6,71.85714285714286,73.28571428571429,243.57142857142858,121.28571428571429,10.285714285714286,4.0,11.491073142000001,17.357142857142858,695.9994443285715
B111/DK3IIH6,69.0,69.33333333333333,258.6666666666667,140.66666666666666,4.333333333333333,14.0,9.614752573666665,18.599999999999998,719.107484
B111/LH82,65.75,67.75,207.5,89.5,1.0,1.25,10.745258126,17.625,731.443009175
B111/PHZ51,71.75,72.75,271.75,142.75,0.5,0.5,12.000580557500001,18.05,730.155823975
B118/PHB47,70.8,71.8,255.8,122.2,0.0,1.2,11.037893637,19.0,750.4289913800001
B119/DK3IIH6,63.0,61.5,269.0,140.0,27.0,22.5,6.7876120285,17.549999999999997,686.06972965
B119/LH82,64.625,65.625,190.875,86.375,2.125,9.25,8.50326871675,14.012500000000001,750.9116858375
B119/PHZ51,68.875,69.625,227.5,118.75,0.0,15.25,8.079617257875,14.6,748.4982135125
B14/DK3IIH6,63.0,64.0,255.0,127.0,2.0,14.0,5.561235683,14.9,677.059433
B14A/C103,72.58823529411765,76.70588235294117,254.05882352941177,126.05882352941177,0.5294117647058824,2.9411764705882355,7.140370114705882,22.170588235294115,719.309395417647
B14A/H95,69.19662921348315,70.64606741573034,233.4676404494382,118.49634832022471,3.0168539325842696,6.157303370786517,9.126727406292135,19.23578651685393,730.7387453005618
B14A/LH82,81.0,81.5,267.0,140.0,0.0,2.5,12.8093386,27.9,731.12121285
B14A/MO17,68.07913669064749,69.29496402877697,237.29021582517987,121.46834532374099,4.122302158273381,6.374100719424461,9.237040355676259,19.361510791366907,707.4414495194245
B14A/OH43,67.94238683127573,69.58024691358025,239.09930041316872,118.47805212880658,2.045267489711934,6.444444444444445,9.545593114358024,20.539711934156376,694.6671904349795
B2/DK3IIH6,73.0,76.5,282.0,160.5,4.0,15.0,4.813961304499999,17.0,669.3363216
B37/C103,73.05555555555556,76.47222222222223,245.47222222222223,117.94444444444444,4.194444444444445,6.0,8.826644712611111,21.825000000000003,729.5479864694445
B37/H95,69.01465201465201,70.95604395604396,242.81711843663,118.61796092600733,4.912087912087912,4.52014652014652,9.592279618095239,19.910329670329673,733.084754547619
B37/MO17,67.61111111111111,70.0,239.7224691339506,121.4930041191358,10.37037037037037,7.314814814814815,9.446272111092593,20.121604938271602,713.8459951845679
B37/OH43,66.63636363636364,68.66844919786097,240.02607842994652,113.76930481069519,3.695187165775401,4.663101604278075,9.669240919454545,20.846898395721926,705.5082228812835
B37/PHZ51,66.75,68.25,240.25,100.5,1.5,13.5,9.36598846675,13.100000000000001,755.255936025
B68/LH82,66.0,68.0,181.5,76.0,0.0,4.0,7.081570375,16.55,742.70587995
B68/PHZ51,68.0,69.0,249.0,113.5,0.0,1.5,9.785722478499999,15.4,749.1418060999999
B73/DK3IIH6,70.2,71.4,242.0,132.8,7.8,10.4,9.9739105206,15.319999999999999,678.08918122
B73/MO17,69.5703125,71.3203125,249.3313020808594,128.36272135625,6.0703125,4.3515625,11.123521005296874,19.432265625,706.9019902199219
B73/PHG35,71.42105263157895,72.5,233.57894736842104,120.07894736842105,0.39473684210526316,4.526315789473684,11.261514057736841,18.676315789473687,729.7324077473685
B73/PHK76,66.8,67.92,225.47346666800001,109.500133332,0.08,3.56,11.077494556040001,18.012,754.445009312
B73/PHM49,69.55633802816901,70.97183098591549,241.4444600915493,119.85237089647886,1.0211267605633803,2.352112676056338,10.870828226866196,19.364788732394366,725.1987104401409
B73/PHN82,68.93703703703704,70.66666666666667,236.53365431814817,118.14083950455554,1.4333333333333333,2.8222222222222224,11.293936560659258,19.529333333333334,724.5838778607407
B73/PHP02,65.33333333333333,66.66666666666667,223.0,114.33333333333333,4.666666666666667,13.0,10.759545874333334,16.966666666666665,712.2424961
B73/PHZ51,69.71739130434783,70.80434782608695,252.75,126.95282608695652,0.6521739130434783,4.021739130434782,11.00369587376087,17.661521739130436,733.7935213500001
B73/TX205,72.425,73.5,251.375,128.6,0.475,5.675,11.41090216045,21.2925,688.6762797775
B73/TX6252,69.0,72.0,174.0,99.0,2.0,3.0,5.286371259,18.8,772.3111404
B73/TX777,76.5,78.0,241.0,119.0,17.0,1.5,9.586759985,16.6,684.78254445
B73/TX779,73.53896103896103,75.82467532467533,247.52896103896103,130.83564935064933,0.44805194805194803,2.1233766233766236,8.480176669694806,22.099740259740262,713.4598695428572
B73_NC230-032-1-1-1-1/LH195,78.33333333333333,79.0,190.33333333333334,80.0,0.0,0.0,8.128998452666666,17.033333333333335,809.6395121333334
B73_NC230-040-1-1-1-1/LH185,68.5,69.5,214.75,104.25,0.0,0.75,7.46994756525,19.725,694.75823
B73_NC230-040-1-1-1-1/LH198,74.8,76.8,224.4,114.6,0.0,2.0,9.1004566304,26.339999999999996,675.7722478
B73_NC230-041-1-1-1-1/LH185,69.71428571428571,72.42857142857143,214.0,104.14285714285714,0.0,0.2857142857142857,9.082065906,19.842857142857145,695.2639099285715
B73_NC230-041-1-1-1-1/LH195,74.14285714285714,75.0,191.28571428571428,89.14285714285714,0.0,0.0,7.844122434428571,18.957142857142856,748.0385045142857
B73_NC230-041-1-1-1-1/LH198,75.75,76.25,221.5,118.25,0.0,0.0,7.91705193525,22.725,697.01080415
B73_NC230-041-1-1-1-1/PB80,74.8,75.2,187.2,93.4,0.0,0.0,6.237530062199999,18.04,699.9713302
B73_NC230-059-1-1-1-1/LH185,72.61538461538461,73.46153846153847,226.0,113.0,0.5384615384615384,1.3076923076923077,10.316889848153846,24.00769230769231,674.1880198307692
B73_NC230-059-1-1-1-1/LH198,76.25,79.5,234.5,122.0,4.75,5.0,6.77520057425,27.35,678.668414575
B73_NC230-126-1-1-1-1/LH195,73.0,73.6,194.2,86.4,0.0,1.0,8.4903811676,20.8,736.2699537999999
B73_NC230-127-1-1-1-1/LH195,69.33333333333333,69.33333333333333,219.66666666666666,108.0,2.0,1.3333333333333333,10.463231466333333,23.8,699.7997055
B73_NC230-127-1-1-1-1/PB80,72.66666666666667,73.0,187.33333333333334,97.0,0.0,1.6666666666666667,8.824129118666667,22.333333333333332,722.1109162333332
B73_NC230-128-1-1-1-1/LH195,75.5,75.66666666666667,210.5,91.33333333333333,0.0,5.333333333333333,8.849735110333333,20.483333333333334,722.7545088333333
B73_NC230-128-1-1-1-1/PB80,76.6,77.8,200.4,92.6,1.2,9.4,6.4794734006,19.2,758.92441392
B73_NC230-129-1-1-1-1/LH185,70.25,72.0,223.8125,101.1875,0.0,2.0,10.2700935925,21.8875,696.52810970625
B73_NC230-129-1-1-1-1/LH195,75.75,76.75,206.25,99.0,0.0,1.25,10.538003140499999,21.025,739.166120575
B73_NC230-129-1-1-1-1/LH198,72.83333333333333,75.0,222.16666666666666,117.16666666666667,0.3333333333333333,5.5,9.784517811666666,26.483333333333334,677.2739639
B73_PHG39-1/LH82,62.25,63.0,203.75,87.25,0.5,0.5,9.60567937875,15.325,755.255936
B73_PHG39-1/PHZ51,64.33333333333333,66.0,229.33333333333334,114.66666666666667,0.0,3.0,10.245488985333333,12.799999999999999,777.8889430333334
B73_PHG39-10/LH82,59.333333333333336,60.333333333333336,201.0,83.0,0.0,6.0,9.451111880666666,15.166666666666666,754.2905471
B73_PHG39-10/PHZ51,64.75,67.25,247.75,108.5,0.0,16.25,8.496238056500001,12.45,792.584307775
B73_PHG39-11/LH82,62.5,63.0,200.75,84.75,0.0,3.0,10.42137362825,14.725000000000001,759.761084325
B73_PHG39-11/PHZ51,64.0,65.33333333333333,239.0,115.0,0.0,7.333333333333333,10.130493456333333,16.266666666666666,732.4083980666668
